times: 4 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 424 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 429 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 434 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 439 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 444 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 449 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 454 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 459 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 464 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 469 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 474 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 479 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 484 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 489 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 494 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 499 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 504 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 509 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 514 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 519 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 524 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 529 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 534 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 539 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 544 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 549 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 554 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 559 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 564 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 569 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 574 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 579 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 584 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 589 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 594 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 599 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 604 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 609 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 614 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 619 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 624 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 629 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 634 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 639 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 644 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 649 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 654 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 659 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 664 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 669 distance(final output)0.0899404 distance_chess0.02318314
