times: 4 distance(final output)0.48745313 distance_chess0.37240306
 Equal: Falsetimes: 429 distance(final output)2.4539921 distance_chess2.3231428
 Equal: Falsetimes: 434 distance(final output)2.4122477 distance_chess2.228979
 Equal: Falsetimes: 439 distance(final output)0.4738487 distance_chess0.4709378
 Equal: Falsetimes: 444 distance(final output)1.7821339 distance_chess1.2807534
 Equal: Falsetimes: 449 distance(final output)1.0418857 distance_chess0.9403339
 Equal: Falsetimes: 454 distance(final output)3.5844095 distance_chess3.5478487
 Equal: Falsetimes: 459 distance(final output)1.7023395 distance_chess1.4199768
 Equal: Falsetimes: 464 distance(final output)1.9188972 distance_chess1.8302634
 Equal: Falsetimes: 469 distance(final output)1.4703072 distance_chess1.3491843
 Equal: Falsetimes: 474 distance(final output)1.1181254 distance_chess1.1176981
 Equal: Falsetimes: 479 distance(final output)1.3552063 distance_chess1.2563812
 Equal: Falsetimes: 484 distance(final output)1.1413697 distance_chess1.1337049
 Equal: Falsetimes: 489 distance(final output)3.1893265 distance_chess3.0618496
 Equal: Falsetimes: 494 distance(final output)2.951279 distance_chess2.9006588
 Equal: Falsetimes: 499 distance(final output)1.341367 distance_chess1.1896462
 Equal: Falsetimes: 504 distance(final output)3.7644546 distance_chess3.5392451
 Equal: Falsetimes: 509 distance(final output)1.2273105 distance_chess0.87548137
 Equal: Falsetimes: 514 distance(final output)1.4198967 distance_chess1.3923738
 Equal: Falsetimes: 519 distance(final output)1.7897633 distance_chess1.7636876
 Equal: Falsetimes: 524 distance(final output)3.6062376 distance_chess2.9163704
 Equal: Falsetimes: 529 distance(final output)2.8970132 distance_chess2.5795188
 Equal: Falsetimes: 534 distance(final output)0.4055707 distance_chess0.39906287
 Equal: Falsetimes: 539 distance(final output)2.2078416 distance_chess2.171396
 Equal: Falsetimes: 544 distance(final output)1.3134526 distance_chess1.2410024
 Equal: Falsetimes: 549 distance(final output)1.1658888 distance_chess1.0617583
 Equal: Falsetimes: 554 distance(final output)1.2158793 distance_chess1.0907348
 Equal: Falsetimes: 559 distance(final output)0.8517237 distance_chess0.820441
 Equal: Falsetimes: 564 distance(final output)2.0060217 distance_chess1.9750259
 Equal: Falsetimes: 569 distance(final output)2.6255877 distance_chess2.0590427
 Equal: Falsetimes: 574 distance(final output)1.8086531 distance_chess1.7022462
 Equal: Falsetimes: 579 distance(final output)0.23184013 distance_chess0.17841744
 Equal: Falsetimes: 584 distance(final output)2.3943167 distance_chess2.1562939
 Equal: Falsetimes: 589 distance(final output)2.606382 distance_chess2.203124
 Equal: Falsetimes: 594 distance(final output)2.810762 distance_chess2.600336
 Equal: Falsetimes: 599 distance(final output)2.1880352 distance_chess2.115584
 Equal: Falsetimes: 604 distance(final output)1.3672558 distance_chess1.3518909
 Equal: Falsetimes: 609 distance(final output)2.664335 distance_chess2.6151414
 Equal: Falsetimes: 614 distance(final output)2.880406 distance_chess2.641396
 Equal: Falsetimes: 619 distance(final output)0.12365654 distance_chess0.11112031
 Equal: Falsetimes: 624 distance(final output)1.9532123 distance_chess1.6578859
 Equal: Falsetimes: 629 distance(final output)3.1702278 distance_chess3.1701193
 Equal: Falsetimes: 634 distance(final output)3.0204701 distance_chess2.9455137
 Equal: Falsetimes: 639 distance(final output)3.2612023 distance_chess3.2172403
 Equal: Falsetimes: 644 distance(final output)1.607744 distance_chess1.5134292
 Equal: Falsetimes: 649 distance(final output)1.1568737 distance_chess1.0027568
 Equal: Falsetimes: 654 distance(final output)1.3000045 distance_chess1.1573381
 Equal: Falsetimes: 659 distance(final output)0.805893 distance_chess0.7519839
 Equal: Falsetimes: 664 distance(final output)3.5415018 distance_chess3.040452
 Equal: Falsetimes: 669 distance(final output)0.36326978 distance_chess0.35601005
 Equal: Falsetimes: 674 distance(final output)1.904478 distance_chess1.5117888
 Equal: Falsetimes: 679 distance(final output)0.62264615 distance_chess0.52742994
 Equal: Falsetimes: 684 distance(final output)2.5634806 distance_chess2.4940042
 Equal: Falsetimes: 689 distance(final output)1.8855485 distance_chess1.8834516
 Equal: Falsetimes: 694 distance(final output)1.2058682 distance_chess0.9580925
 Equal: Falsetimes: 699 distance(final output)0.5968861 distance_chess0.47205204
 Equal: Falsetimes: 704 distance(final output)2.6061335 distance_chess2.6000566
 Equal: Falsetimes: 709 distance(final output)1.4526031 distance_chess1.437252
 Equal: Falsetimes: 714 distance(final output)1.1872307 distance_chess1.1331561
